* common elvish dwarven pixie ogre orcish trollese rodent insectoid mammal
* reptile dragon spiritual magical goblin god ancient halfling clan gith

* structure is:
* #language
* pre-conversions~
* alphabet~
* conversions~

#common
~
abcdefghijklmnopqrstuvwxyz~
~

#default * for any language without a table
~
ekjrugtlohfqbxyvndwmaczsip~
~

#halfling
'halfling' 'banakil'
'hobbit' 'kuduk'
'horrible' 'balc'
'simple' 'banazir'
'half' 'ban'
'quick' 'bara'
'wich' 'bas'
'talker' 'batta'
'bulge' 'bolg'
'heady' 'bralda'
'border' 'branda'
'march' 'branda'
'coin' 'castar'
'gold' 'castar'
'stay' 'gad'
'game' 'galab'
'goat' 'gamba'
'valley' 'gul'
'ale' 'him'
'beer' 'him'
'cottage' 'hloth'
'cot' 'hloth'
'cotton' 'hlothran'
'merry' 'kali'
'jolly' 'kali'
'gay' 'kali'
'cloven' 'karnin'
'bag' 'laban'
'fluff' 'luthran'
'dwarf' 'narag'
'people' 'nas'
'men' 'nas'
'end' 'neg'
'water' 'nin'
'speech' 'phare'
'delve' 'phur'
'blower' 'puta'
'blow' 'put'
'village' 'ran'
'burr' 'raph'
'horn' 'ras'
'stranger' 'raza'
'apple' 'razar'
'common' 'soval'
'shire' 'suza'
'rabbit' 'tapuc'
'coney' 'tapuc'
'quarter' 'tharantin'
'fourth' 'tharantin'
'smial' 'tran'
'guard' 'tudnas'
'old' 'zara'
'wise' 'zir'
'butter' 'zilib'
~
epcdalbhojcrnmigqfsbuvvxyz~
~


#elvish   * 'flutey' language.. slam some harsh sounds..
'the hour' 'lumenn'
'our meeting' 'omentielvo'
'shines' 'sila'
'metal' 'tinco'
'book' 'parma'
'lamp' 'calma'
'feather' 'quesse'
'gate' 'ando'
'fate' 'umbar'
'iron' 'anga'
'web' 'ungwe'
'spirit' 'thule'
'north' 'formen'
'treasure' 'harma'
'rage' 'aha'
'breeze' 'hwesta'
'mouth' 'anto'
'hook' 'ampa'
'jaws' 'anca'
'hollow' 'unque'
'west' 'numen'
'gold' 'malta'
'torment' 'nwalme'
'heart' 'ore'
'power' 'vala'
'gift' 'anna'
'air' 'vilya'
'sky' 'vilya'
'east' 'romen'
'region' 'arda'
'tongue' 'lambe'
'tree' 'alda'
'starlight' 'silme'
'name' 'esse'
'sunlight' 'are'
'south' 'hyarmen'
'bridge' 'yanta'
'heat' 'ure'
'say' 'pedo'
'friend' 'mellon'
'enter' 'minno'
'them' 'hain'
'made' 'echant'
'drew' 'teithant'
'these' thiw'
'signs' 'hin'
'spring' 'thuile'
'summer' 'laire'
'autumn' 'yavie'
'fading' 'quelle'
'winter' 'hrive'
'stirring' 'coire'
'dream' 'lorien'
'bow' 'luva'
'growth' 'loa'
'mistiness' 'hisime'
'century' 'haranye'
'week' 'enquie'
'star' 'elen'
'moon' 'isil'
'shines' 'sila'
